Campaign_Group,Campaign_Name,Ad_Name,Date,Objective,Ad_Format,Device,Job_Function,Seniority,Company_Size,Industry,Impressions,Clicks,CTR,Conversions,Conversion_Rate,Spend,CPC,Revenue,ROAS,Leads,Lead_Form_Completion_Rate,Engagement_Rate
Holiday_Group,Holiday_Campaign_2024,Sales_Ad,2024-06-03,Brand_Awareness,Video,Mobile,Sales,Director,10001+,Marketing,666538,17049,2.56,950,5.57,37511.25,2.2,163260.38,4.35,950,77.57,4.22
Black_Group,Black_Friday_2024,Sales_Ad,2024-06-03,Brand_Awareness,Carousel,Desktop,Sales,Manager,501-1000,Marketing,290466,7986,2.75,627,7.85,18574.37,2.33,112997.13,6.08,627,67.88,4.05
Black_Group,Black_Friday_2024,Marketing_Ad,2024-06-03,Lead_Generation,Single_Image,Desktop,Marketing,C-Level,501-1000,Healthcare,730148,16798,2.3,1150,6.85,36797.52,2.19,232023.17,6.31,1150,66.27,3.55
Cyber_Group,Cyber_Monday_2024,IT_Ad,2024-06-03,Lead_Generation,Video,Desktop,IT,Manager,501-1000,Healthcare,331287,7795,2.35,698,8.95,15642.29,2.01,144059.73,9.21,698,73.82,3.01
Cyber_Group,Cyber_Monday_2024,Sales_Ad,2024-06-03,Conversions,Video,Mobile,Sales,C-Level,10001+,Education,693607,17151,2.47,1225,7.14,37170.7,2.17,262271.98,7.06,1225,78.02,3.76
Summer_Group,Summer_Sale_2024,Marketing_Ad,2024-06-03,Brand_Awareness,Carousel,Desktop,Marketing,VP,1001-5000,Marketing,713052,19406,2.72,1209,6.23,38599.93,1.99,216053.33,5.6,1209,75.01,3.06
Summer_Group,Summer_Sale_2024,Finance_Ad,2024-06-03,Lead_Generation,Single_Image,Desktop,Finance,Manager,10001+,Education,240427,7193,2.99,516,7.17,15019.0,2.09,84365.38,5.62,516,73.4,4.19
Back_Group,Back_To_School_2024,Finance_Ad,2024-06-03,Brand_Awareness,Carousel,Mobile,Finance,VP,501-1000,Healthcare,645526,13450,2.08,738,5.49,34152.02,2.54,121438.55,3.56,738,72.57,3.7
Back_Group,Back_To_School_2024,Sales_Ad,2024-06-03,Brand_Awareness,Sponsored_Content,Desktop,Sales,C-Level,1001-5000,Healthcare,389339,9984,2.56,650,6.51,22666.87,2.27,117319.71,5.18,650,75.61,3.39
Spring_Group,Spring_Launch_2024,HR_Ad,2024-06-03,Conversions,Video,Mobile,HR,VP,1001-5000,Education,420058,8442,2.01,666,7.89,23085.49,2.73,120520.51,5.22,666,70.32,4.02
Spring_Group,Spring_Launch_2024,IT_Ad,2024-06-03,Lead_Generation,Carousel,Mobile,IT,Director,5001-10000,Education,402901,11100,2.76,999,9.0,21971.24,1.98,182478.09,8.31,999,68.11,3.76
Valentine_Group,Valentine_Day_2024,Finance_Ad,2024-06-03,Brand_Awareness,Single_Image,Desktop,Finance,VP,10001+,Education,388414,10229,2.63,675,6.6,29294.89,2.86,147424.93,5.03,675,75.11,4.18
Valentine_Group,Valentine_Day_2024,IT_Ad,2024-06-03,Brand_Awareness,Carousel,Desktop,IT,VP,10001+,Marketing,387028,8042,2.08,514,6.39,19066.08,2.37,84788.49,4.45,514,64.92,3.13
New_Group,New_Year_2024,HR_Ad,2024-06-03,Brand_Awareness,Video,Mobile,HR,VP,1001-5000,Consulting,382336,13501,3.53,912,6.76,35164.91,2.6,188843.97,5.37,912,71.97,3.48
New_Group,New_Year_2024,Sales_Ad,2024-06-03,Lead_Generation,Single_Image,Desktop,Sales,VP,5001-10000,Marketing,317687,11174,3.52,775,6.94,28732.94,2.57,144523.81,5.03,775,74.76,3.14
Holiday_Group,Holiday_Campaign_2024,Operations_Ad,2024-06-04,Lead_Generation,Sponsored_Content,Mobile,Operations,Manager,1001-5000,Healthcare,478757,9890,2.07,723,7.31,20158.98,2.04,132457.85,6.57,723,74.12,4.3
Holiday_Group,Holiday_Campaign_2024,IT_Ad,2024-06-04,Lead_Generation,Carousel,Desktop,IT,Manager,501-1000,Marketing,679993,18376,2.7,1390,7.56,42821.6,2.33,231746.5,5.41,1390,77.92,4.29
Black_Group,Black_Friday_2024,IT_Ad,2024-06-04,Lead_Generation,Carousel,Mobile,IT,VP,501-1000,Marketing,681852,20949,3.07,1695,8.09,51389.11,2.45,304117.63,5.92,1695,76.0,3.07
Black_Group,Black_Friday_2024,HR_Ad,2024-06-04,Conversions,Video,Desktop,HR,VP,10001+,Consulting,256278,8757,3.42,622,7.1,18624.06,2.13,132065.65,7.09,622,77.52,4.05
Cyber_Group,Cyber_Monday_2024,Marketing_Ad,2024-06-04,Lead_Generation,Single_Image,Mobile,Marketing,Director,10001+,Education,576814,20385,3.53,1391,6.82,59526.75,2.92,247397.31,4.16,1391,72.89,3.15
Cyber_Group,Cyber_Monday_2024,Sales_Ad,2024-06-04,Lead_Generation,Single_Image,Desktop,Sales,Manager,1001-5000,Marketing,540031,15840,2.93,1045,6.6,43564.88,2.75,204615.25,4.7,1045,76.73,3.49
Summer_Group,Summer_Sale_2024,Operations_Ad,2024-06-04,Conversions,Carousel,Mobile,Operations,C-Level,10001+,Healthcare,223143,7325,3.28,401,5.47,16149.06,2.2,80345.42,4.98,401,69.16,3.43
Summer_Group,Summer_Sale_2024,Operations_Ad,2024-06-04,Lead_Generation,Sponsored_Content,Mobile,Operations,VP,5001-10000,Healthcare,409801,10840,2.65,596,5.5,31377.51,2.89,107905.62,3.44,596,73.74,3.06
Back_Group,Back_To_School_2024,Sales_Ad,2024-06-04,Brand_Awareness,Carousel,Desktop,Sales,C-Level,501-1000,Marketing,319466,10832,3.39,677,6.25,29317.12,2.71,123090.65,4.2,677,71.07,3.93
Back_Group,Back_To_School_2024,Marketing_Ad,2024-06-04,Brand_Awareness,Video,Mobile,Marketing,Director,1001-5000,Education,254433,7242,2.85,489,6.75,14714.98,2.03,84297.05,5.73,489,68.29,3.36
Spring_Group,Spring_Launch_2024,Operations_Ad,2024-06-04,Lead_Generation,Single_Image,Mobile,Operations,C-Level,5001-10000,Healthcare,525533,12641,2.41,928,7.34,32999.18,2.61,192412.32,5.83,928,68.47,4.31
Spring_Group,Spring_Launch_2024,Marketing_Ad,2024-06-04,Conversions,Video,Mobile,Marketing,Manager,10001+,Healthcare,461165,13528,2.93,996,7.36,34896.47,2.58,209612.09,6.01,996,65.5,3.74
Valentine_Group,Valentine_Day_2024,Marketing_Ad,2024-06-04,Lead_Generation,Single_Image,Desktop,Marketing,Director,501-1000,Marketing,343610,9143,2.66,521,5.7,21022.47,2.3,103443.75,4.92,521,65.57,4.07
Valentine_Group,Valentine_Day_2024,Sales_Ad,2024-06-04,Brand_Awareness,Carousel,Desktop,Sales,VP,1001-5000,Technology,448363,13348,2.98,726,5.44,27179.86,2.04,127011.03,4.67,726,74.97,3.58
New_Group,New_Year_2024,HR_Ad,2024-06-04,Lead_Generation,Carousel,Mobile,HR,Manager,10001+,Technology,301511,10212,3.39,629,6.16,21936.11,2.15,129431.65,5.9,629,64.28,3.2
New_Group,New_Year_2024,Operations_Ad,2024-06-04,Lead_Generation,Sponsored_Content,Mobile,Operations,C-Level,1001-5000,Consulting,441791,15450,3.5,920,5.95,34307.65,2.22,199704.62,5.82,920,71.35,2.97
Holiday_Group,Holiday_Campaign_2024,Sales_Ad,2024-06-05,Brand_Awareness,Sponsored_Content,Mobile,Sales,VP,10001+,Technology,309573,8843,2.86,710,8.03,17956.09,2.03,135810.14,7.56,710,73.98,3.37
Holiday_Group,Holiday_Campaign_2024,IT_Ad,2024-06-05,Conversions,Sponsored_Content,Mobile,IT,Director,1001-5000,Technology,245385,8635,3.52,449,5.2,18707.48,2.17,97651.27,5.22,449,64.01,4.16
Black_Group,Black_Friday_2024,Operations_Ad,2024-06-05,Conversions,Carousel,Mobile,Operations,Manager,5001-10000,Consulting,320928,8919,2.78,490,5.49,23646.37,2.65,100464.15,4.25,490,75.03,2.95
Black_Group,Black_Friday_2024,Finance_Ad,2024-06-05,Brand_Awareness,Video,Mobile,Finance,C-Level,5001-10000,Consulting,320490,11386,3.55,1058,9.29,32929.67,2.89,210467.84,6.39,1058,65.9,3.47
Cyber_Group,Cyber_Monday_2024,Finance_Ad,2024-06-05,Lead_Generation,Single_Image,Desktop,Finance,Director,1001-5000,Consulting,649414,15825,2.44,1386,8.76,43581.12,2.75,284160.9,6.52,1386,68.76,3.95
Cyber_Group,Cyber_Monday_2024,Finance_Ad,2024-06-05,Brand_Awareness,Sponsored_Content,Desktop,Finance,VP,10001+,Marketing,344878,8701,2.52,737,8.47,23582.23,2.71,132417.1,5.62,737,77.54,3.27
Summer_Group,Summer_Sale_2024,Operations_Ad,2024-06-05,Conversions,Video,Desktop,Operations,Director,1001-5000,Education,618594,21258,3.44,1450,6.82,53152.89,2.5,251647.73,4.73,1450,66.69,3.11
Summer_Group,Summer_Sale_2024,Operations_Ad,2024-06-05,Lead_Generation,Sponsored_Content,Mobile,Operations,Manager,1001-5000,Technology,499988,14402,2.88,861,5.98,40070.2,2.78,176114.82,4.4,861,73.76,3.79
Back_Group,Back_To_School_2024,Operations_Ad,2024-06-05,Lead_Generation,Sponsored_Content,Desktop,Operations,Manager,501-1000,Education,262677,6551,2.49,407,6.21,17712.33,2.7,73379.64,4.14,407,77.61,4.32
Back_Group,Back_To_School_2024,Marketing_Ad,2024-06-05,Brand_Awareness,Video,Mobile,Marketing,C-Level,501-1000,Education,292433,9105,3.11,639,7.02,22624.02,2.48,113238.72,5.01,639,71.1,3.54
Spring_Group,Spring_Launch_2024,Operations_Ad,2024-06-05,Brand_Awareness,Single_Image,Desktop,Operations,VP,10001+,Consulting,473651,16045,3.39,1222,7.62,35703.85,2.23,257549.03,7.21,1222,77.8,3.75
Spring_Group,Spring_Launch_2024,Marketing_Ad,2024-06-05,Conversions,Carousel,Desktop,Marketing,Director,5001-10000,Technology,385718,13006,3.37,1009,7.76,27893.68,2.14,166644.57,5.97,1009,73.27,4.03
Valentine_Group,Valentine_Day_2024,Marketing_Ad,2024-06-05,Lead_Generation,Sponsored_Content,Desktop,Marketing,Manager,501-1000,Technology,177465,6007,3.38,348,5.79,12499.92,2.08,72792.9,5.82,348,65.67,3.85
Valentine_Group,Valentine_Day_2024,IT_Ad,2024-06-05,Lead_Generation,Single_Image,Mobile,IT,Director,1001-5000,Marketing,257570,6123,2.38,336,5.49,15902.36,2.6,65269.17,4.1,336,77.03,4.11
New_Group,New_Year_2024,Operations_Ad,2024-06-05,Brand_Awareness,Carousel,Mobile,Operations,Director,10001+,Technology,269119,6644,2.47,558,8.4,17588.38,2.65,118787.07,6.75,558,67.65,3.98
New_Group,New_Year_2024,Finance_Ad,2024-06-05,Conversions,Sponsored_Content,Desktop,Finance,Manager,10001+,Technology,296137,5942,2.01,496,8.35,14452.12,2.43,86164.66,5.96,496,64.59,3.42
Holiday_Group,Holiday_Campaign_2024,IT_Ad,2024-06-06,Conversions,Carousel,Mobile,IT,Manager,10001+,Consulting,287563,7482,2.6,617,8.25,21416.59,2.86,112761.57,5.27,617,68.52,4.21
Holiday_Group,Holiday_Campaign_2024,Finance_Ad,2024-06-06,Conversions,Carousel,Desktop,Finance,Manager,10001+,Education,325401,9680,2.97,819,8.46,22365.02,2.31,163253.57,7.3,819,71.92,3.94
Black_Group,Black_Friday_2024,Sales_Ad,2024-06-06,Conversions,Video,Mobile,Sales,Manager,10001+,Technology,457470,16115,3.52,1058,6.57,46950.45,2.91,227964.73,4.86,1058,75.2,4.24
Black_Group,Black_Friday_2024,Marketing_Ad,2024-06-06,Lead_Generation,Sponsored_Content,Desktop,Marketing,C-Level,1001-5000,Consulting,379154,8711,2.3,537,6.16,19293.35,2.21,89611.85,4.64,537,69.55,3.4
Cyber_Group,Cyber_Monday_2024,IT_Ad,2024-06-06,Conversions,Video,Desktop,IT,Director,10001+,Marketing,508556,12948,2.55,756,5.84,26165.7,2.02,134845.3,5.15,756,76.52,4.21
Cyber_Group,Cyber_Monday_2024,Marketing_Ad,2024-06-06,Brand_Awareness,Video,Desktop,Marketing,C-Level,5001-10000,Technology,201993,6314,3.13,456,7.22,17638.85,2.79,93282.09,5.29,456,77.76,3.11
Summer_Group,Summer_Sale_2024,Operations_Ad,2024-06-06,Conversions,Video,Mobile,Operations,C-Level,5001-10000,Education,385217,11692,3.04,739,6.32,28742.59,2.46,157957.89,5.5,739,75.91,3.26
Summer_Group,Summer_Sale_2024,Finance_Ad,2024-06-06,Conversions,Sponsored_Content,Mobile,Finance,C-Level,10001+,Healthcare,464235,15559,3.35,850,5.46,35456.21,2.28,178477.77,5.03,850,65.27,3.57
Back_Group,Back_To_School_2024,IT_Ad,2024-06-06,Brand_Awareness,Video,Desktop,IT,VP,501-1000,Technology,234319,8243,3.52,457,5.54,17021.61,2.06,92084.85,5.41,457,66.82,3.07
Back_Group,Back_To_School_2024,IT_Ad,2024-06-06,Conversions,Video,Desktop,IT,Manager,10001+,Healthcare,249089,7375,2.96,491,6.66,16064.03,2.18,103078.02,6.42,491,66.39,4.07
Spring_Group,Spring_Launch_2024,Sales_Ad,2024-06-06,Lead_Generation,Single_Image,Mobile,Sales,C-Level,1001-5000,Healthcare,680036,22824,3.36,1616,7.08,52496.96,2.3,326107.73,6.21,1616,64.43,3.84
Spring_Group,Spring_Launch_2024,Marketing_Ad,2024-06-06,Lead_Generation,Video,Desktop,Marketing,Director,1001-5000,Education,227451,5558,2.44,432,7.77,15304.45,2.75,85080.6,5.56,432,67.12,3.84
Valentine_Group,Valentine_Day_2024,HR_Ad,2024-06-06,Brand_Awareness,Carousel,Desktop,HR,Director,1001-5000,Consulting,418097,14971,3.58,1289,8.61,33050.62,2.21,275779.78,8.34,1289,66.34,2.89
Valentine_Group,Valentine_Day_2024,Sales_Ad,2024-06-06,Conversions,Video,Desktop,Sales,Manager,10001+,Education,319136,10351,3.24,893,8.63,21852.87,2.11,185473.22,8.49,893,70.45,4.24
New_Group,New_Year_2024,HR_Ad,2024-06-06,Brand_Awareness,Sponsored_Content,Mobile,HR,VP,501-1000,Technology,463907,12544,2.7,1148,9.15,24748.94,1.97,193801.93,7.83,1148,68.11,3.93
New_Group,New_Year_2024,Operations_Ad,2024-06-06,Lead_Generation,Video,Desktop,Operations,Manager,501-1000,Healthcare,153817,4416,2.87,226,5.12,9343.06,2.12,44764.94,4.79,226,72.46,3.94
Holiday_Group,Holiday_Campaign_2024,HR_Ad,2024-06-07,Brand_Awareness,Video,Mobile,HR,Director,1001-5000,Healthcare,575844,15562,2.7,932,5.99,37800.85,2.43,154965.68,4.1,932,76.12,3.88
Holiday_Group,Holiday_Campaign_2024,Marketing_Ad,2024-06-07,Brand_Awareness,Single_Image,Mobile,Marketing,Director,501-1000,Marketing,277010,6659,2.4,611,9.18,18684.91,2.81,126229.63,6.76,611,71.99,4.13
Black_Group,Black_Friday_2024,HR_Ad,2024-06-07,Lead_Generation,Video,Mobile,HR,C-Level,5001-10000,Healthcare,342322,10731,3.13,704,6.56,29729.27,2.77,145177.96,4.88,704,66.84,3.16
Black_Group,Black_Friday_2024,IT_Ad,2024-06-07,Conversions,Video,Mobile,IT,Manager,5001-10000,Education,550573,16006,2.91,1168,7.3,37864.09,2.37,253738.01,6.7,1168,76.6,3.61
Cyber_Group,Cyber_Monday_2024,Sales_Ad,2024-06-07,Lead_Generation,Single_Image,Desktop,Sales,Manager,1001-5000,Marketing,577448,17276,2.99,1522,8.81,47250.02,2.74,258514.98,5.47,1522,72.82,3.21
Cyber_Group,Cyber_Monday_2024,HR_Ad,2024-06-07,Brand_Awareness,Video,Mobile,HR,Manager,5001-10000,Education,588907,13237,2.25,1045,7.89,36425.66,2.75,220350.54,6.05,1045,77.31,4.22
Summer_Group,Summer_Sale_2024,Finance_Ad,2024-06-07,Lead_Generation,Carousel,Desktop,Finance,VP,1001-5000,Healthcare,164239,4258,2.59,359,8.43,10361.56,2.43,58281.65,5.62,359,77.04,3.47
Summer_Group,Summer_Sale_2024,Sales_Ad,2024-06-07,Brand_Awareness,Video,Desktop,Sales,VP,1001-5000,Marketing,277457,10009,3.61,661,6.6,28275.47,2.83,125006.45,4.42,661,74.83,3.95
Back_Group,Back_To_School_2024,HR_Ad,2024-06-07,Conversions,Single_Image,Desktop,HR,VP,10001+,Education,414835,8205,1.98,492,6.0,17682.07,2.16,86486.28,4.89,492,65.27,4.04
Back_Group,Back_To_School_2024,Marketing_Ad,2024-06-07,Brand_Awareness,Single_Image,Desktop,Marketing,Director,501-1000,Education,412044,13444,3.26,859,6.39,38623.19,2.87,160946.52,4.17,859,65.14,3.3
Spring_Group,Spring_Launch_2024,Sales_Ad,2024-06-07,Lead_Generation,Video,Mobile,Sales,Director,10001+,Technology,421960,9547,2.26,610,6.39,23736.35,2.49,132938.97,5.6,610,69.24,2.94
Spring_Group,Spring_Launch_2024,Marketing_Ad,2024-06-07,Lead_Generation,Single_Image,Desktop,Marketing,C-Level,1001-5000,Education,494670,12471,2.52,828,6.64,28965.49,2.32,175309.71,6.05,828,70.98,3.24
Valentine_Group,Valentine_Day_2024,Marketing_Ad,2024-06-07,Conversions,Sponsored_Content,Desktop,Marketing,C-Level,10001+,Technology,523453,14159,2.7,1324,9.35,29768.57,2.1,215890.64,7.25,1324,73.97,4.1
Valentine_Group,Valentine_Day_2024,Sales_Ad,2024-06-07,Conversions,Sponsored_Content,Desktop,Sales,Manager,5001-10000,Education,424207,9435,2.22,672,7.12,22529.15,2.39,146820.64,6.52,672,64.18,3.82
New_Group,New_Year_2024,HR_Ad,2024-06-07,Brand_Awareness,Carousel,Desktop,HR,Manager,501-1000,Technology,289202,8670,3.0,764,8.81,22345.48,2.58,147998.04,6.62,764,76.42,3.18
New_Group,New_Year_2024,HR_Ad,2024-06-07,Conversions,Video,Desktop,HR,VP,5001-10000,Healthcare,468023,9437,2.02,792,8.39,25927.34,2.75,152242.42,5.87,792,69.52,3.41
Holiday_Group,Holiday_Campaign_2024,Marketing_Ad,2024-06-08,Conversions,Video,Desktop,Marketing,Manager,1001-5000,Education,415906,11141,2.68,839,7.53,25154.5,2.26,173110.49,6.88,839,73.76,3.62
Holiday_Group,Holiday_Campaign_2024,Marketing_Ad,2024-06-08,Brand_Awareness,Carousel,Mobile,Marketing,Manager,501-1000,Healthcare,428069,9809,2.29,531,5.41,25377.59,2.59,106126.59,4.18,531,74.2,4.01
Black_Group,Black_Friday_2024,Operations_Ad,2024-06-08,Brand_Awareness,Sponsored_Content,Mobile,Operations,C-Level,10001+,Healthcare,288791,6255,2.17,508,8.12,12531.31,2.0,105155.62,8.39,508,64.36,3.1
Black_Group,Black_Friday_2024,HR_Ad,2024-06-08,Conversions,Video,Mobile,HR,Director,5001-10000,Marketing,388943,13947,3.59,795,5.7,34450.85,2.47,142950.55,4.15,795,75.0,3.66
Cyber_Group,Cyber_Monday_2024,Marketing_Ad,2024-06-08,Brand_Awareness,Carousel,Mobile,Marketing,Manager,5001-10000,Healthcare,307189,7612,2.48,490,6.44,20535.16,2.7,91209.92,4.44,490,76.75,4.3
Cyber_Group,Cyber_Monday_2024,Marketing_Ad,2024-06-08,Lead_Generation,Video,Desktop,Marketing,Manager,10001+,Consulting,237426,5611,2.36,356,6.34,12334.57,2.2,60751.99,4.93,356,66.44,3.25
Summer_Group,Summer_Sale_2024,HR_Ad,2024-06-08,Brand_Awareness,Video,Desktop,HR,Director,501-1000,Healthcare,365107,10912,2.99,642,5.88,25033.04,2.29,126518.46,5.05,642,65.76,3.09
Summer_Group,Summer_Sale_2024,Finance_Ad,2024-06-08,Conversions,Carousel,Desktop,Finance,VP,1001-5000,Education,299374,8721,2.91,698,8.0,23317.54,2.67,127784.09,5.48,698,73.2,3.18
Back_Group,Back_To_School_2024,Operations_Ad,2024-06-08,Conversions,Carousel,Mobile,Operations,Director,501-1000,Education,435737,13044,2.99,702,5.38,35082.07,2.69,117420.07,3.35,702,64.95,3.67
Back_Group,Back_To_School_2024,Finance_Ad,2024-06-08,Brand_Awareness,Single_Image,Desktop,Finance,Director,10001+,Education,283626,5611,1.98,467,8.32,14608.61,2.6,78524.54,5.38,467,68.69,4.1
